Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Incorporation Country
Oceania,Australia,Government of Australia,Government,4544412142,506662966,
Europe,Austria,Government of Austria,Government,5668208518,631956621,
Europe,Austria,Oesterreichische Kontrollbank,Corporate,177237287,19760437,
Europe,Belgium,Government of Belgium,Government,4120977536,459453640,
North America,Canada,Alcan Inc,Corporate,83726228,9334756,
North America,Canada,Canada Mortgage And Housing Corp,Securitized,403049780,44936593,
North America,Canada,Export Development Corp Canada,Government Related,641928673,71569540,
North America,Canada,Government of Canada,Government,2926370399,326265193,
North America,Canada,Quebec Province,Government Related,15528233,1731265,
Europe,Denmark,Den Danske Bank,Corporate,3719450417,414686811,
Europe,Denmark,Government of Denmark,Government,522918227,58300896,
Europe,Denmark,Storebæltforbindelsen A/S,Corporate,22597975,2519480,
Europe,Finland,Government of Finland,Government,2583688417,288059092,
Europe,France,France Telecom,Corporate,8503545,948072,
Europe,France,Government of France,Government,10634498525,1185655349,
Europe,Germany,Deutsche Ausgleichsbank,Corporate,84424329,9412588,
Europe,Germany,Government of Germany,Government,41828743218,4663546009,
Europe,Germany,KFW International Finance,Government Related,297441254,33162148,
Europe,Germany,Kreditanstalt Fur Wiederaufbau,Government Related,1069018889,119186435,
Europe,Germany,Landesbk Rheinland Pfalz,Government Related,698146,77837,
Europe,Germany,Landwirtschaft Rentenbank,Government Related,1316048873,146728159,
Europe,Germany,Norddeutsche Landesbank Gz,Government Related,317663400,35416744,
Europe,Germany,Westdeutsche Landesbank Gz,Government Related,166715498,18587348,
Europe,Greece,Government of Greece,Government,5185021695,578085435,
International,International Organisations,African Development Bank,Government Related,428994822,47829242,
International,International Organisations,Asian Development Bank,Government Related,170067145,18961028,
International,International Organisations,Eurofima,Government Related,138320035,15421497,
International,International Organisations,European Development Bank,Government Related,318719020,35534436,
International,International Organisations,European Investment Bank,Government Related,2446454802,272758722,
International,International Organisations,Inter-American Development Bank,Government Related,139193666,15518900,
International,International Organisations,Nordic Investment Bank,Government Related,159576893,17791455,
International,International Organisations,World Bank,Government Related,397774840,44348482,
Europe,Ireland,Government of Ireland,Government,1144187559,127567097,
Middle East,Israel,Government of Israel,Government,76926377,8576631,
Europe,Italy,Fiat Finance & Trade,Corporate,121083843,13499810,
Europe,Italy,Government of Italy,Government,43319342427,4829735032,
Asia,Japan,City of Kobe,Government Related,145523299,16224599,
Asia,Japan,Export-Import Bank Of Japan,Government Related,319023115,35568340,
Asia,Japan,Government of Japan,Government,53625207623,5978750585,
Asia,Japan,Japanese Development Bank,Government Related,204076437,22752772,
Europe,Netherlands,Government of the Netherlands,Government,7929375025,884057287,
Europe,Netherlands,Siemens Financieringsmat,Corporate,245794144,27403938,
Oceania,New Zealand,Government of New Zealand,Government,70923563,7907369,
Europe,Portugal,Government of Portugal,Government,2036977553,227105521,
Europe,Spain,Government of Spain,Government,14696673793,1638553041,
Europe,Spain,Instituto de Credito Oficial,Government Related,2620644885,292179421,
Europe,Sweden,Ericsson Lm Telefon Ab,Corporate,108702070,12119348,
Europe,Sweden,Government of Sweden,Government,4352180907,485230833,
Europe,Switzerland,ABB International Finance Ltd,Corporate,205433493,22904072,
Europe,Switzerland,Government of Switzerland,Government,5205154816,580330106,
Europe,United Kingdom,Abbey Natl Treasury Serv,Corporate,70185581,7825090,
Europe,United Kingdom,BG Transco Plc,Corporate,24904735,2776664,
Europe,United Kingdom,Glaxosmithkline Serv Plc,Corporate,144969344,16162838,
Europe,United Kingdom,Guaranty Export Finance Corporation,Government Related,142692253,15908962,
Europe,United Kingdom,Helaba Intl Finance Plc,Corporate,333298210,37159891,
Europe,United Kingdom,Lehman Bros Holdings Plc,Corporate,41447974,4621094,
Europe,United Kingdom,United Kingdom Government,Government,28946929456,3227334291,
Europe,United Kingdom,Vodafone Group Plc,Corporate,14270751,1591066,
North America,United States,Federal Home Loan Banks,Corporate,132444433,14766418,
North America,United States,Federal National Mortgage Association,Corporate/Securitized,4274588923,476579992,
North America,United States,Ford Motor Credit Co,Corporate,46806068,5218475,
North America,United States,Freddie Mac,Corporate/Securitized,3683275567,410653626,
North America,United States,General Elec Cap Corp,Corporate,28572788,3185621,
North America,United States,Government of United States of America,Government,85207263098,9499878820,
North America,United States,Intl Lease Finance Corp,Corporate,91358135,10185648,
North America,United States,Tennessee Valley Authority,Government Related,19697269,2196077,
North America,United States,Tyco Capital Corp,Corporate,96376703,10745176,
